name,img,ingredients,instruction,video,categories
김재중 - '빨간왕갈비탕' 레시피,https://pbbsres.kbs.co.kr/t2019-0286-04-296340/2025/01/31/2863086_257-10.jpg,"['갈비 8대', '양파 2개', '대파 2대', '무 반 통', '생강 2톨', '인삼 2개', '밤 5알', '건대추 한 줌', '월계수 3~4장', '통후추 한 줌 [둥굴레차] 물 3L', '둥굴레 한 줌 [양념장] 진간장 4T', '까나리액젓 2T 청양고춧가루 3T', '일반고춧가루 6T', '다시다 3T', '고추장 2T', '다진 마늘 4T', '미원 3꼬집', '맛술 2T', '둥굴레차 5국자(약 500ml)']","['(※ 재중 씨의 손맛 계량을 영상 분석하여 올리는 레시피입니다! 약간의 오차가 있을 수 있으니 양해 부탁드립니다☺) 0', '재료 준비 1) 왕갈비 손질 1-1) 빵칼로 갈비에 남아있는 지방을 포 뜨듯이 제거하고 갈빗살 중간중간에 양념이 잘 배일 수 있게 칼집을 낸다', '※갈비 지방 손질 시 빵칼을 사용하면 미끄럽지 않아 손 다칠 위험 없이 손쉽게 제거할 수 있습니다! 1-2) 손질한 갈비뼈에 묻어 있는 뼛가루 등의 불순물을 씻는다', '2) [둥굴레차] 물 3L에 둥굴레 한 줌을 넣고 우린다', '※둥굴레차 티백을 쓰셔도 좋아요! 3) 양파는 납작하게 썬다', '/ 대파는 듬성듬성 썬다', '/ 무는 나박 썬다', '/ 생강은 얇게 썬다', '1', '압력솥에 고기가 잠길 정도의 물과 손질한 갈비를 넣고 10분간 초벌로 삶은 다음 삶아진 고기를 흐르는 물에 깨끗이 씻는다', '※기름과 뼛가루 등 불순물이 나온 육수는 버려주세요! 2', '압력솥 바닥에 양파, 대파, 생강, 무를 넣고 깔고 둥굴레차 약 2L와 초벌한 고기를 넣는다', '3', '볼에 [양념장] 진간장 4T, 까나리액젓 2T 청양고춧가루 3T, 일반고춧가루 6T, 다시다 3T, 고추장 2T, 다진 마늘 4T, 미원 3꼬집, 맛술 2T, 둥굴레차 5국자(약 500ml)를 넣고 섞는다', '4', '[양념장] 을 체에 걸러 넣는다', '※양념장의 건더기를 걸러야 맑고 빨간 갈비탕 국물이 만들어집니다! ※체를 국물에 살짝 담가 걸러주면 양념을 더 수월하게 내릴 수 있습니다~ 5', '인삼 2개, 밤 5알, 건대추 한 줌, 월계수 3~4장, 통후추 한 줌을 넣는다', '6', '압력솥 뚜껑을 닫고 25분 끓인 다음 10분 뜸 들이면 완성! *레시피는 편스토랑 인스타그램에서도 확인할 수 있습니다♥ @funstaurant_kbs']",,['국물 요리']
장신영 - '김 구이' 레시피,https://pbbsres.kbs.co.kr/t2019-0286-04-296340/2025/01/31/2863075_257-09.jpg,"['돌김', '들기름', '식용유', '맛소금']","['1', '볼에 들기름과 식용유를 부어 섞는다', '2', '김에 1의 기름을 바르고 맛소금을 뿌린다', '3', '예열된 팬에 김을 올려 굽는다', '*레시피는 편스토랑 인스타그램에서도 확인할 수 있습니다♥ @funstaurant_kbs']",,['구이/튀김']
장신영 - '동그랑땡' 레시피,https://pbbsres.kbs.co.kr/t2019-0286-04-296340/2025/01/31/2863064_257-08.jpg,"['돼지고기 다짐육 200g', '두부 1/2모', '대파 1/2개', '당근 1/3개 다진마늘 1T', '후추 1T', '소금 1/2T', '참기름 2T', '달걀 2개', '밀가루', '식용유']","['0', '재료 준비 1) 두부 1/2모를 으깨고 물기를 짠다', '2) 대파 1/2개, 당근 1/3개를 다진다', '3) 볼에 달걀 2개를 넣고 푼다', '1', '볼에 다짐육 200g, 1)의 두부를 넣어 섞는다', '2', '다진 대파와 당근, 다진마늘 1T, 후추 1T, 소금 1/2T, 참기름 2T를 넣어 섞는다', '3', '반죽을 떼어 손에 쥐고 굴려 동그란 모양을 만든다', '4', '겉면에 밀가루 → 3)의 달걀물 순으로 묻힌다', '5', '예열된 팬에 식용유를 두르고 4의 반죽을 올려 약불로 굽는다', '*레시피는 편스토랑 인스타그램에서도 확인할 수 있습니다♥ @funstaurant_kbs']",,[]
장신영 - '메추리알 짜장 장조림' 레시피,https://pbbsres.kbs.co.kr/t2019-0286-04-296340/2025/01/31/2863053_257-07.jpg,"['메추리알 20개', '비엔나소시지 70g', '짜장가루 3T', '설탕 1T', '물 200ml', '통깨', '식용유']","['1', '냄비에 물, 소금, 메추리알을 넣어 10분 삶고 껍질을 깐다', '2', '비엔나소시지에 칼집을 낸다', '3', '팬에 식용유를 두르고 1의 메추리알을 넣어 5분간 굽는다', '4', '비엔나소시지, 짜장가루 3T, 설탕 1T, 물 200ml를 넣어 끓인다', '5', '국물이 졸여지면 통깨를 뿌려 마무리! *레시피는 편스토랑 인스타그램에서도 확인할 수 있습니다♥ @funstaurant_kbs']",,['반찬']
장신영 - '감자조림' 레시피,https://pbbsres.kbs.co.kr/t2019-0286-04-296340/2025/01/31/2863042_257-06.jpg,"['감자 2개', '마늘종', '물엿 2T', '다진마늘 1T', '식용유 2T', '고추장 1T', '고춧가루 1t', '진간장 1T', '참기름 1t', '매실액', '소금 ※ 감자는 전분이 많은 분질감자가 아닌 햇감자를 사용해주세요!']","['0', '재료 준비 1) 감자 2개의 껍질을 깎고 먹기 좋은 크기로 깍둑썬다', '2) 마늘종을 1~2cm 길이로 썬다', '1', '볼에 썰어둔 감자, 물엿 2T, 소금을 넣고 버무려 20분 재운다', '※ 10분 지나면 뒤적여주세요! 2', '웍에 식용유 2T, 다진마늘 1T를 넣고 강불로 볶는다', '3', '마늘이 노르스름해지면 감자를 넣어 3~4분 볶는다', '4', '2)의 마늘종, 물 3T를 넣고 뚜껑을 덮어 중불로 3~5분 익힌다', '5', '볼에 고추장 1T, 고춧가루 1t, 진간장 1T, 참기름 1t, 매실액을 넣어 섞는다', '6', '5의 양념장을 넣어 강불로 1~2분 볶는다', '*레시피는 편스토랑 인스타그램에서도 확인할 수 있습니다♥ @funstaurant_kbs']",,['반찬']
장신영 - '애호박 새송이볶음' 레시피,https://pbbsres.kbs.co.kr/t2019-0286-04-296340/2025/01/31/2863031_257-05.jpg,"['애호박 1개', '새송이버섯 1.5개', '다진마늘 1/2T', '식용유 1T', '소금 1/2T', '설탕 1T', '깨']","['1', '애호박 1개, 새송이버섯 1', '5개를 먹기 좋게 채 썬다', '2', '볼에 1의 애호박, 소금 1/2T, 설탕 1T를 넣어 5분 절인다', '3', '예열된 팬에 식용유 1T, 다진마늘 1/2T를 넣어 중불로 볶는다', '4', '마늘이 갈변하면 절여둔 애호박과 새송이버섯을 넣어 3~4분 볶는다', '5', '호박이 부드러워지면 참기름 1T를 넣어 섞고 불을 끈다', '※ 수분이 부족할 땐 물 2T를 넣으면 됩니다! 6', '잔열로 잠시 볶고 그릇에 담아 한 김 식힌 뒤, 깨를 뿌리면 완성! *레시피는 편스토랑 인스타그램에서도 확인할 수 있습니다♥ @funstaurant_kbs']",,['반찬']
장신영 - '시금치 두부무침' 레시피,https://pbbsres.kbs.co.kr/t2019-0286-04-296340/2025/01/31/2863019_257-04.jpg,"['시금치 1/2단', '두부 1/2모', '소금 1/3T', '진간장 1T', '참치액', '참기름 1T', '깨']","['1', '냄비에 물을 끓이고 두부 1/2모를 넣어 데친다', '2', '데친 두부를 으깨고 물기를 짠다', '※ 두부의 물기를 제거해야 맛을 해치지 않고 보관성을 높일 수 있습니다! 3', '냄비에 물, 소금 1/3T를 넣어 끓인 뒤, 시금치를 넣어 데치고 찬물로 헹군 후 물기를 짠다', '4', '볼에 2)의 두부, 데친 시금치, 진간장 1T, 참기름 1T, 참치액 조금을 넣어 무치면 완성! *레시피는 편스토랑 인스타그램에서도 확인할 수 있습니다♥ @funstaurant_kbs']",,[]
장신영 - '콩나물 무침' 레시피,https://pbbsres.kbs.co.kr/t2019-0286-04-296340/2025/01/31/2862995_257-03.jpg,"['콩나물 200g', '다진마늘 1/2T', '참기름 2T', '소금', '참치액', '통깨', '검은깨']","['1', '콩나물 200g을 찜기에 넣고 찐다', '2', '그릇에 다진마늘 1t를 넣고 쪄진 콩나물을 올려 한 김 식힌다', '3', '소금, 참치액을 조금씩 넣고 섞어 간을 맞춘다', '4', '참기름을 뿌리면 완성! *레시피는 편스토랑 인스타그램에서도 확인할 수 있습니다♥ @funstaurant_kbs']",,[]
장신영 - '무나물' 레시피,https://pbbsres.kbs.co.kr/t2019-0286-04-296340/2025/01/31/2862984_257-02.jpg,"['무 1개', '대파 1/2대', '소금 1T', '다진마늘 1T', '설탕 1/3T', '들깻가루', '굵은소금', '식용유', '들기름', '건조 다시마 ※ 1kg 정도 무게의 무를 사용하면 됩니다! ※ 대파는 초록 부분을 사용하면 더욱 예쁩니다!']","['0', '재료 준비 1) 무 1개의 껍질을 벗겨 얇게 채 썬다', '2) 대파 1/2대를 다진다', '3) 냄비에 물, 건조 다시마 3장을 넣고 끓여 육수를 낸다', '1', '볼에 채 썬 무, 굵은 소금을 넣고 절인 뒤, 물로 헹구고 물기를 짠다', '2', '웍에 식용유, 들기름, 다진마늘 1T, 다진 대파를 넣어 볶는다', '3', '마늘이 어느 정도 익으면 1의 무를 넣어 볶는다', '4', '무의 숨이 죽으면 3)의 육수 3T, 소금 1T, 설탕 1/3T를 넣어 볶는다', '5', '그릇에 담아내고 들깻가루를 뿌리면 완성! *레시피는 편스토랑 인스타그램에서도 확인할 수 있습니다♥ @funstaurant_kbs']",,[]
장신영 - '누룽지 게살스프' 레시피,https://pbbsres.kbs.co.kr/t2019-0286-04-296340/2025/01/31/2862973_257-01.jpg,"['누룽지 50g', '팽이버섯 1/8개', '크래미 2개', '계란 1개', '부추 2줄', '멸치액젓 1T', '참기름 1T', '물']","['0', '재료 준비 1) 부추 2줄을 쫑쫑 썬다', '2) 팽이버섯 1/8의 밑동을 자른 후 4등분한다', '3) 크래미 2개를 손으로 찢는다', '4) 볼에 달걀 1개를 푼다', '1', '냄비에 누룽지 50g, 물을 넣고 강불로 끓인다', '2', '물이 끓으면 약불로 10분 더 끓인다', '3', '강불로 올려 손질한 팽이버섯과 크래미, 소금을 넣고 저어가며 1분 30초 끓인다', '4', '4)의 달걀을 졸졸 부은 뒤 저어가며 30초 끓이고 불을 끈다', '5', '멸치액젓 1T, 참기름 1T를 넣어 섞고, 1)의 부추를 올리면 완성! *레시피는 편스토랑 인스타그램에서도 확인할 수 있습니다♥ @funstaurant_kbs']",,[]
