id,name,ingredients,recipe
1,정혜영 -  하와이안 주먹밥 레시피,"<하와이안 주먹밥> 요리 재료 쌀 2컵, 후리가케 1TS, 참기름 1/2TS, 구운 김 4장, 스팸 340g, 참기름 1TS, 설탕 2TS, 맛간장 1TS, 물 1/4컵, 슬라이스 치즈 4장, 달걀 3개, 맛술 1TS, 소금1/3TS","1. 밥물을 조금 적게 잡아 밥을 고슬고슬하게 지어 한 김 식힌 뒤, 후리가케와 참기름을 넣고 버무린다. 2. 구운 김을 반으로 자른다. 3. 스팸을 8등분 해 자르고 팬에 참기름을 두르고 굽는다. 4. 어느 정도 노릇노릇해지면 설탕, 간장, 물을 넣어 자작하게 졸인다. 5. 슬라이스 치즈를 반으로 자른다. 6. 달걀에 미림, 소금을 넣고 지단을 도톰하게 부친다 7. 완성한 달걀지단은 스팸과 같은 크기로 잘라 준비한다 8. 깻잎을 흐르는 물에 깨끗이 씻어 반으로 접어 한 장씩 사용한다. 9. 김 위에 무스비용 틀(스팸 틀을 활용하면 좋음)을 올리고 밥-스팸-치즈-꺳잎-계란-밥 순서로 재료를 차곡차곡 담고 누른 뒤 틀에서 꺼내 김으로 감싸준다."
2,정혜영 - 아보카도 밥버거 레시피,"<아보카도 밥버거> 요리 재료 닭가슴살 한 덩이, 다진 마늘 1TS, 식용유 1TS, 양파1/4, 당근1/4, 파프리카1/4, 데리야끼 간장 1TS, 밥 1공기, 아보카도 1개, 삶은 달걀 1개","1. 닭가슴살, 양파, 당근, 파프리카는 먹기 좋게 썰어 준비한다. 2. 식용유, 다진 마늘을 먼저 볶는다. 3. 2에 닭가슴살을 넣어 볶아주며 소금 간을 한다. 4. 3에 양파, 당근, 파프리카와 데리야끼 간장 소스를 넣고 함께 볶아준다 5. 4에 밥을 넣고 볶아 닭가슴살 볶음밥을 완성한다 6. 아보카도는 껍질을 까서 가로방향으로 반을 잘라 준비한다. 7. 아보카도-볶음밥-삶은 달걀 슬라이스-아보카도 순서로 쌓는다."
3,진세연 - 감자크림 명란 떡볶이 레시피,"<감자크림 명란 떡볶이> 요리 재료 (2인분) [떡볶이 재료] 구멍쌀떡 180g, 물 200ml, 고추장 60g, 파 30g, 어묵 100g, 물엿 40g, 설탕 20, 다진 마늘 5g, 고운입자의 고춧가루 20g, 약간 매운맛 카레가루 2g, 춘장 5g [감자 크림 재료] 찐 감자 으깬 것 200g, 생크림 200ml, 소금, 후추 약간, 짤주머니 깍지 [명란] 껍질을 제거한 명란 10g","1. 냄비에 떡과 양념을 넣고 센 불에 끓인다. (5분) 2. 어묵을 넣는다. 3. 약불로 줄인 뒤 파를 넣어준다. 2분 후 불을 꺼준 뒤 따로 둔다. 4. 생크림과 감자를 블렌더에 간다. (크림 질감은 꾸덕하고 무거운 느낌) 5. 소금, 후추도 추가해 블렌딩 해준다. 6. 짤주머니에 넣어 떡볶이 위에 짜준다. (110g) 7. 마지막으로 명란을 크림 위에 얹어준다. (토치를 이용해 구우면 풍미 ↑)"
4,김나영 - 먹더조이 - 한 입 핫도그 레시피,"쌀가루 1컵, 핫케이크 1컵, 계란 3개, 우유 1컵, 카놀라유, 비엔나소시지, 콘옥수수 1통, 모짜렐라 치즈 1팩, 케첩, 바나나 1개, 초콜릿1개","(내용물은 호두과자 팬 1구가 꽉 차도록 넣어주면 됨) 1. 쌀가루 1컵, 핫케이크 1컵, 달걀 3개, 우유 1컵을 넣고 섞어서 반죽을 만들어준다. 2. 호두과자 팬에 기름을 묻혀주고, 비엔나소시지도 먹기 좋게 반으로 잘라 준비한다. 3. 호두과자 팬에 반죽을 넣어주고, 내용물을 안에 넣어준다. 내용물 1 – 바나나 초콜릿 多 내용물 2 – 식감 좋게 자른 비엔나소시지 옥수수多 케첩多 섞어주기 내용물 3 – 콘 옥수수 모짜렐라 치즈 4. 그 후 반죽으로 한 번 더 내용물을 덮어준다. 5. 약불에 바나나가나초콜릿은 6분 50초 / 피자빵 6분 / 치즈옥수수 – 5분 30초 정도 익힌다."
5,김나영 - 먹더조이 – 곤드레 두유 아란치니 레시피,"양송이버섯 3개, 양파 1/4개, 카놀라유, 곤드레밥 1팩, 무가당 두유 200ml, 후추 3ts, 체다치즈 2장, 밀가루, 달걀5개, 빵가루 1팩, 식용유","1. 양송이버섯과 양파를 잘게 다져준다. 2. 곤드레밥에 있는 곤드레 나물을 아이들이 먹기 좋게 다져준다. 4. 카놀라유 위에 다진 양파와 양송이버섯을 넣고, 곤드레 밥도 넣어 볶아준다 5. 그 위에 무가당 두유 200ml를 넣어 저어준다. 6. 후추를 넣어 간을 맞춘 후 체다치즈 2장을 넣어준다 7. 불을 끄고 식힌 후 동그랗게 뭉쳐 밀가루 → 달걀물 → 빵가루 순으로 묻혀준다 8. 기름에 노릇하게 튀겨주면 완성"
6,김나영 - 먹더조이 – 달걀&새우 품은 미트볼 레시피,"양파 1/2개, 양송이버섯 2개, 다진 소고기 2팩, 빵가루 1팩, 후추 1ts, 소금 1ts, 칵테일새우 1팩, 깐 메추리알 1팩","1. 양파와 양송이버섯을 잘게 다져준다. 2. 양파와 양송이버섯을 올리브유에 볶아준다. 3. 다진 고기에 다진 마늘을 1TS 넣고, 볶은 양파와 양송이버섯도 넣어준다. 4. 빵가루 반 접시, 달걀 1개, 후추 1ts, 소금 1ts을 넣어 반죽해준다. 5. 메추리알과, 새우를 중심으로 미트볼을 뭉쳐준다. 이때 새우 꼬리는 꼭 잘라준다. 6. 중불에 미트볼을 15분간 구워주면 완성"
7,김나영 -먹더조이 – 버섯 크림 소스 레시피,"총알버섯 2컵, 버터 적당히, 올리브오일, 소금 2ts, 우유2컵 (종이컵 기준), 생크림 2컵 (종이컵 기준)",1. 총알버섯 2컵을 버터와 올리브 오일에 소금 2ts를 넣고 간해서 볶는다. 2. 볶은 버섯 위에 우유 2컵 생크림 2컵에 소금 간해서 푹 끓인 후 믹서에 갈면 버섯 크림소스 완성 (곤드레 두유 아란치니를 버섯 크림소스에 찍어 먹어먹는다)
8,정일우 - 마라샹궈 밥만두 레시피,"<마라샹궈밥만두> 요리 재료 [만두 재료] 쌀만두피, 라이스페이퍼, 마라기름 소스 (산초有) 120g, 찹쌀 200g, 다진 마늘 조금, 껍질 깐 큰 새우 250g (1cm 정도로 작게 썰기), 4~5시간 이상 물에 불린 건두부 80g, 마늘쫑 60g (작게 썰기), 4~5시간 이상 물에 불린 목이버섯 80g, 배추 80g, 양지살 100g, 애호박 80g [소스 재료] 스위트칠리소스, 연유","1. 프라이팬에 다진 마늘을 기름에 볶은 후, 새우와 고기를 넣고 익힌다. 2. 마늘쫑, 목이버섯, 건두부, 애호박, 배추 등 각종 채소를 넣고 익힌 후, 마라소스를 넣어 매운맛을 더해 만두소를 만든다. 3. [찐만두 버전] 물에 적신 라이스페이퍼에 2번 소를 가득 넣어 감싸주고 만두피를 한 번 더 감싸서 빚는다. 4. [군만두 버전] 2번 소에 찹쌀밥을 넣어 볶은 뒤 만두피에 넣고 빚어서 프라이팬에 겉면에 바삭해지도록 굽는다. 5. 찐만두는 스위트칠리소스에, 군만두는 연유에 찍어 먹을 수 있게 준비한다."
9,이영자 - 19금 볶음밥 4가지 – 매운 어묵 볶음밥 레시피,"[볶음밥 재료]얇은 어묵 50g, 공깃밥 반공기 [양념장 재료] 간장 1/3T, 물 11ml, 고춧가루 1/3TS, 맛술 1/6TS, 참기름 1/6TS, 진참치액 1/6TS, 설탕 6/1TS, 마늘 1/6TS, 다진 대파 1/3TS, 매운 청양고추 다진 것 1/2개, 통깨 1/6TS, 물엿 1/3TS",1. 어묵은 물에 살짝 데치거나 끓는 물을 부어준다. 2. 물엿을 제외한 양념을 모두 넣어 어묵과 함께 볶아준다. 3. 2번 양념이 끓으려고 하면 중불로 낮춰 볶아준다. 4. 마지막으로 물엿을 넣고 깨를 뿌려준다. 5. 밥을 넣어 볶아준다. 6. 5번을 도넛 팬에 넣고 앞뒤로 구워준다.
10,이영자 - 19금 볶음밥 4가지 – 김치 치즈 볶음밥 레시피,"[볶음밥 재료] 물기 뺀 묵은지 50g, 공깃밥 1/3공기, 모차렐라 치즈 [양념장 재료] 참치액 1/6TS, 고춧가루 1/6TS, 설탕 1/6TS, 다진 대파 1/2TS, 식용유 1/3TS, 참기름 1/6T, 통깨 1/6T","1. 묵은지는 국물을 빼고 잘게 줄기 부분을 다진다. 2. 팬을 달궈 식용유 1/3TS을 넣고 다진 대파 1/2TS을 넣어 파기름을 낸다. 3. 김치와 설탕, 참치액, 고춧가루 넣어 볶아준다. 4. 김치가 볶아지면 밥을 넣고 같이 고슬고슬하게 볶아준다. 5. 마지막에 참기름과 통깨를 넣어준다. 6. 5번에 치즈를 넣고 치즈가 녹을 때까지 별 모양 프라이팬에 익혀준다."
